date,name,type,distance_mi,duration,pace,avg_hr,cadence,ascent_ft,descent_ft,calories,training_load,steps,sets,device
2026-02-01,Encinitas Run,Run,3.86,40:08,"10'23""/mi",146,159,118,79,530,85,6489,,COROS PACE 2
2026-01-31,Encinitas Run,Run,5.09,52:08,"10'15""/mi",154,157,203,190,706,141,8201,,COROS PACE 2
2026-01-30,Strength,Strength,,41:49,,82,,,,263,1,,8,COROS PACE 2
2026-01-29,Encinitas Run,Run,5.17,55:04,"10'39""/mi",148,157,190,207,717,128,8623,,COROS PACE 2
2026-01-28,Encinitas Run,Run,3.46,36:40,"10'35""/mi",153,154,85,75,485,82,5617,,COROS PACE 2
2026-01-28,Strength,Strength,,55:11,,86,,,,392,3,,11,COROS PACE 2
2026-01-27,Encinitas Run,Run,2.87,30:42,"10'31""/mi",141,157,66,62,396,66,4734,,COROS PACE 2
2026-01-27,Carlsbad Mountain Bike,Bike,5.61,1:07:46,"21'27""/mi",136,,1112,1132,707,77,,,COROS PACE 2
2026-01-26,Strength,Strength,,55:44,,91,,,,452,5,,13,COROS PACE 2
2026-01-25,Carlsbad Mountain Bike,Bike,5.52,1:02:52,"22'44""/mi",143,,1112,1122,707,99,,,COROS PACE 2
2026-01-23,Carlsbad Run,Run,5.37,1:33:02,"17'18""/mi",127,98,292,240,821,127,9069,,COROS PACE 2
2026-01-21,Carlsbad Run,Run,5.76,1:00:09,"10'26""/mi",155,158,207,220,798,143,9499,,COROS PACE 2
2026-01-20,Carlsbad Run,Run,2.85,30:16,"10'37""/mi",145,154,69,92,389,68,4658,,COROS PACE 2
2026-01-20,Strength,Strength,,55:50,,81,,,,281,2,,6,COROS PACE 2
2026-01-19,Strength,Strength,,45:42,,83,,,,218,1,,1,COROS PACE 2
2026-01-18,Carlsbad Mountain Bike,Bike,6.58,1:25:13,"20'00""/mi",140,,1230,1184,933,125,,,COROS PACE 2
2026-01-17,Carlsbad Run,Run,8.0,1:28:14,"11'01""/mi",154,151,325,312,1108,198,13326,,COROS PACE 2
2026-01-16,Carlsbad Mountain Bike,Bike,5.46,1:03:42,"22'12""/mi",148,,1109,1122,755,113,,,COROS PACE 2
2026-01-15,Carlsbad Run,Run,2.95,32:29,"10'18""/mi",150,160,85,95,403,69,4886,,COROS PACE 2
2026-01-15,Strength,Strength,,52:47,,84,,,,189,1,,4,COROS PACE 2
2026-01-14,Strength,Strength,,54:04,,87,,,,398,4,,10,COROS PACE 2
2026-01-13,Carlsbad Run,Run,5.62,1:05:02,"11'06""/mi",148,152,305,299,783,131,9533,,COROS PACE 2
2026-01-12,Strength,Strength,,51:44,,84,,,,330,2,,12,COROS PACE 2
2026-01-11,Strength,Strength,,50:53,,89,,,,324,2,,5,COROS PACE 2
2026-01-10,Anguilla Run,Run,4.48,1:07:56,"15'09""/mi",147,124,308,312,665,96,8210,,COROS PACE 2
2026-01-08,Strength,Strength,,26:31,,104,,,,167,7,,7,COROS PACE 2
2026-01-08,Anguilla Run,Run,1.53,21:06,"13'45""/mi",135,133,131,131,217,37,2818,,COROS PACE 2
2026-01-07,The Valley Run,Run,4.28,53:08,"12'24""/mi",148,142,446,466,599,140,7500,,COROS PACE 2
2026-01-06,Anguilla Run,Run,3.66,47:22,"11'48""/mi",145,149,180,197,505,78,6422,,COROS PACE 2
2026-01-04,Strength,Strength,,1:05:25,,88,,,,444,4,,11,COROS PACE 2
2026-01-03,Carlsbad Trail Run,Trail Run,3.29,47:00,"13'20""/mi",137,130,607,607,466,74,5844,,COROS PACE 2
2026-01-02,Encinitas Run,Run,5.27,1:00:08,"11'15""/mi",135,158,161,154,665,106,9353,,COROS PACE 2
2026-01-01,Strength,Strength,,52:46,,78,,,,292,,,9,COROS PACE 2
